Data,Area Colhida (hct),Quadra Chuvosa,Restante do Ano,Total
1990,457560,468.7548233695654,117.150339673913,585.9051630434784
1991,713231,615.2279551630437,126.42620584239128,741.6541610054351
1992,610525,485.43750000000017,171.30767663043474,656.7451766304349
1993,260600,308.3131114130434,104.0576766304348,412.37078804347817
1994,796819,750.5990489130438,396.93454483695655,1147.5335937500004
1995,747296,864.6611285665759,189.63457880434788,1054.2957073709238
1996,567630,815.8611243206525,238.4436311141305,1054.304755434783
1997,506311,550.1367866847825,148.69065896739133,698.8274456521738
1998,447286,309.7332647904106,201.91106235670009,511.6443271471107
1999,683161,643.5475210272745,214.48704017970886,858.0345612069832
2000,699243,681.6804314240161,346.49844354131966,1028.1788749653356
2001,687798,515.0863433672032,178.62465290401298,693.7109962712161
2002,787953,570.5696916704592,364.6377272979074,935.2074189683667
2003,792972,751.3946519188264,208.14077380636448,959.5354257251907
2004,741411,590.2426649964375,540.8769362366722,1131.1196012331095
2005,653467,496.64899103745176,163.37992871325952,660.0289197507112
2006,720493,737.8026840375819,144.45827822477924,882.2609622623611
2007,766652,630.5333170185918,121.87787873641304,752.4111957550049
2008,770935,824.3652561519452,199.1004297422327,1023.465685894178
2009,789244,1070.7606783742488,309.88697041221286,1380.6476487864616
2010,651463,344.9806779073632,263.4609920501709,608.441669957534
2011,823740,723.8536847280417,409.8108780860903,1133.6645628141318
2012,595657,356.27697010869554,91.4920537533967,447.7690238620922
2013,447288,420.3732508980708,230.74127734640385,651.1145282444746
2014,551825,516.5728925393977,123.52525247490921,640.0981450143069
2015,565224,496.17335961383344,148.50984762440555,644.683207238239
2016,533857,380.880852508545,255.376713462498,636.257565971043
2017,622410,619.0600066475247,176.83108759341042,795.8910942409351
