Ano,Quadra Chuvosa,Restante do Ano,Total
1974,1175.0336956521735,382.17989130434785,1557.2135869565213
1975,803.8423913043476,303.77771739130435,1107.620108695652
1976,621.0521052631581,140.1421052631579,761.1942105263159
1977,718.8378787878788,327.39040404040395,1046.2282828282828
1978,612.1869158878505,197.1107476635514,809.2976635514019
1979,464.2596153846155,177.4557692307693,641.7153846153848
1980,553.606296296296,196.6988888888889,750.3051851851849
1981,511.72191780821936,131.45171232876714,643.1736301369865
1982,523.6587248322147,162.3218120805369,685.9805369127516
1983,352.43223684210517,46.22598684210526,398.65822368421044
1984,863.4751633986926,192.98758169934632,1056.462745098039
1985,1236.2509803921566,505.41241830065337,1741.66339869281
1986,942.0702614379084,250.1588235294117,1192.22908496732
1987,520.5297385620917,157.9745098039216,678.5042483660133
1988,752.0726286764707,272.88169117647055,1024.9543198529414
1989,761.2181215083801,385.20083798882683,1146.418959497207
1990,468.7548233695654,117.150339673913,585.9051630434784
1991,615.2279551630437,126.42620584239128,741.654161005435
1992,485.43750000000017,171.30767663043474,656.7451766304349
1993,308.3131114130434,104.0576766304348,412.37078804347817
1994,750.5990489130438,396.93454483695655,1147.5335937500004
1995,864.6611285665759,189.63457880434788,1054.2957073709238
1996,815.8611243206525,238.4436311141305,1054.304755434783
1997,550.1367866847825,148.69065896739133,698.8274456521738
1998,309.7332647904106,201.91106235670009,511.6443271471107
1999,643.5475210272745,214.48704017970886,858.0345612069833
2000,681.6804314240161,346.4984435413196,1028.1788749653356
2001,515.0863433672032,178.62465290401298,693.7109962712161
2002,570.5696916704592,364.6377272979074,935.2074189683666
2003,751.3946519188264,208.14077380636448,959.5354257251909
2004,590.2426649964375,540.8769362366722,1131.1196012331097
2005,496.64899103745176,163.37992871325952,660.0289197507113
2006,737.8026840375819,144.45827822477924,882.2609622623611
2007,630.5333170185918,121.87787873641304,752.4111957550049
2008,824.3652561519452,199.1004297422327,1023.4656858941779
2009,1070.7606783742488,309.88697041221286,1380.6476487864616
2010,344.9806779073632,263.4609920501709,608.441669957534
2011,723.8536847280417,409.8108780860903,1133.664562814132
2012,356.27697010869554,91.4920537533967,447.76902386209224
2013,420.3732508980708,230.74127734640385,651.1145282444746
2014,516.5728925393977,123.52525247490921,640.0981450143069
2015,496.17335961383344,148.50984762440555,644.683207238239
2016,380.880852508545,255.376713462498,636.257565971043
2017,619.0600066475247,176.8310875934104,795.8910942409351
2018,660.5677539887632,128.86240786676808,789.4301618555313
