Estacao,TempCompensadaMedia,TempMaximaMedia,TempMinimaMedia
Barbalha,27.164272666666665,33.469623750000004,22.408586166666666
Campos Sales,26.344581333333334,32.2932245,21.390778833333332
Crateus,28.73207675,35.012658,23.442162749999998
Fortaleza,27.68449845454546,31.559673999999998,24.386021416666665
Guaramiranga,21.481789000000003,26.44874291666667,18.96958925
Iguatu,28.004434000000003,34.12833136363636,22.61833127272727
Jaguaruana,28.504307416666673,34.73750725,23.775565249999996
Morada Nova,28.59352972727273,35.486585636363635,23.19918309090909
Quixeramobim,28.730566499999995,34.70967125,24.42542441666667
Sobral,28.056755500000005,35.482766166666664,22.754212083333332
Taua,28.354105333333333,34.07258316666666,23.626533750000004
